,,,,,,X,Y,Z
  KF 0 ID:,1,"  X: 0, Y: 0, Z: 0",,  KF 0 ID:,1,0,0,0
  KF 1 ID:,18,"   X: 0.156956, Y: -0.008938, Z: 0.001772	",,  KF 1 ID:,18,0.156956,-0.008938,0.001772
  KF 2 ID:,30,"  X: 0.373578, Y: -0.011978, Z: 0.0081",,  KF 2 ID:,30,0.373578,-0.011978,0.0081
  KF 3 ID:,56,"  X: 0.592781, Y: -0.010463, Z: 0.013264",,  KF 3 ID:,56,0.592781,-0.010463,0.013264
  KF 4 ID:,95,"  X: 0.855209, Y: 0.000752, Z: 0.022486",,  KF 4 ID:,95,0.855209,0.000752,0.022486
  KF 5 ID:,130,"   X: 1.117475, Y: -0.01344, Z: 0.050318	",,  KF 5 ID:,130,1.117475,-0.01344,0.050318
  KF 6 ID:,188,"  X: 1.451597, Y: -0.050529, Z: 0.108548",,  KF 6 ID:,188,1.451597,-0.050529,0.108548
  KF 7 ID:,235,"  X: 1.762812, Y: -0.127668, Z: 0.178542",,  KF 7 ID:,235,1.762812,-0.127668,0.178542
  KF 8 ID:,319,"  X: 1.742998, Y: -0.433289, Z: 0.349888",,  KF 8 ID:,319,1.742998,-0.433289,0.349888
  KF 9 ID:,362,"  X: 1.656864, Y: -0.730472, Z: 0.494606",,  KF 9 ID:,362,1.656864,-0.730472,0.494606
  KF 10 ID:,394,"  X: 1.688319, Y: -1.042799, Z: 0.623882",,  KF 10 ID:,394,1.688319,-1.042799,0.623882
  KF 11 ID:,451,"  X: 1.831934, Y: -1.273245, Z: 0.6673",,  KF 11 ID:,451,1.831934,-1.273245,0.6673
  KF 12 ID:,485,"  X: 1.720463, Y: -1.563482, Z: 0.781605",,  KF 12 ID:,485,1.720463,-1.563482,0.781605
  KF 13 ID:,589,"   X: 1.31021, Y: -1.632817, Z: 0.81596	",,  KF 13 ID:,589,1.31021,-1.632817,0.81596
  KF 14 ID:,793,"  X: 0.92432, Y: -1.567755, Z: 0.783874",,  KF 14 ID:,793,0.92432,-1.567755,0.783874
  KF 15 ID:,858,"  X: 0.595724, Y: -1.711126, Z: 0.886147",,  KF 15 ID:,858,0.595724,-1.711126,0.886147
  KF 16 ID:,910,"  X: 0.223567, Y: -1.85692, Z: 0.924007",,  KF 16 ID:,910,0.223567,-1.85692,0.924007
  KF 17 ID:,942,"  X: -0.12744, Y: -1.938906, Z: 0.964222",,  KF 17 ID:,942,-0.12744,-1.938906,0.964222
  KF 18 ID:,977,"  X: -0.478595, Y: -2.016199, Z: 0.997653",,  KF 18 ID:,977,-0.478595,-2.016199,0.997653
  KF 19 ID:,1018,"   X: -0.779391, Y: -2.030388, Z: 1.025616	",,  KF 19 ID:,1018,-0.779391,-2.030388,1.025616
  KF 20 ID:,1074,"   X: -1.147775, Y: -2.131001, Z: 1.022334	",,  KF 20 ID:,1074,-1.147775,-2.131001,1.022334
  KF 21 ID:,1129,"  X: -1.485402, Y: -2.06799, Z: 0.962995",,  KF 21 ID:,1129,-1.485402,-2.06799,0.962995
  KF 22 ID:,1186,"  X: -1.823145, Y: -1.781553, Z: 0.831684",,  KF 22 ID:,1186,-1.823145,-1.781553,0.831684
