time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),altitude_above_seaLevel(meters),speed(m/s),distance(meters),max_altitude(meters),max_ascent(meters),max_speed(m/s), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isVideo,gimbal_heading(degrees),gimbal_pitch(degrees),altitude(meters),flycState,message
861300,5:34:35 PM,40.99474727,20.79843476,26.8,740.6112793,0,153.513,740.8112793,27,9.31,0,0,0,217.3,-1.9,-1.3,1,217.4,-54.1,740.6112793,P-GPS,
861400,5:34:35 PM,40.99474742,20.79843472,26.8,740.6112793,0,153.521,740.8112793,27,9.31,0,0,0,217.2,-1.8,-1.2,1,217.4,-54.1,740.6112793,P-GPS,
861500,5:34:35 PM,40.99474753,20.79843468,26.8,740.6112793,0,153.528,740.8112793,27,9.31,0,0,0,217.2,-1.8,-1,1,217.4,-54.1,740.6112793,P-GPS,
861600,5:34:35 PM,40.99474761,20.79843458,26.8,740.6112793,0,153.538,740.8112793,27,9.31,0,0,0,217.2,-1.8,-1,1,217.4,-54.1,740.6112793,P-GPS,
861700,5:34:35 PM,40.99474766,20.7984345,26.8,740.6112793,0,153.546,740.8112793,27,9.31,0,0,0,217.1,-1.6,-1.1,1,217.4,-54.1,740.6112793,P-GPS,
861800,5:34:35 PM,40.99474774,20.79843441,26.8,740.6112793,0,153.556,740.8112793,27,9.31,0,0,0,217.3,-1.5,-1,1,217.4,-54.1,740.6112793,P-GPS,
861900,5:34:35 PM,40.9947478,20.79843434,26.8,740.6112793,0,153.563,740.8112793,27,9.31,0,0,0,217.3,-1.6,-1.1,1,217.4,-54.1,740.6112793,P-GPS,
862000,5:34:35 PM,40.99474786,20.79843423,26.8,740.6112793,0,153.574,740.8112793,27,9.31,0,0,0,217.2,-1.6,-1.1,1,217.4,-54.1,740.6112793,P-GPS,
862100,5:34:36 PM,40.9947479,20.79843414,26.8,740.6112793,0,153.583,740.8112793,27,9.31,0,0,0,217.2,-1.4,-0.7,1,217.4,-54.1,740.6112793,P-GPS,
862200,5:34:36 PM,40.99474795,20.79843401,26.8,740.6112793,0,153.594,740.8112793,27,9.31,0,0,0,217.2,-1.5,0.3,1,217.4,-54.1,740.6112793,P-GPS,
