time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(meters),height_above_ground_at_drone_location(meters),ground_elevation_at_drone_location(meters),altitude_above_seaLevel(meters),height_sonar(meters),speed(m/s),distance(meters),satellites,gpslevel,voltage(v),max_altitude(meters),max_ascent(meters),max_speed(m/s),max_distance(meters), xSpeed(m/s), ySpeed(m/s), zSpeed(m/s), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(c),altitude(meters),ascent(meters),flycStateRaw,flycState,message
976100,7/16/2020 17:19,41.987063,21.48660433,37.2,,,269.8631165,10.5,0,4.64742,18,5,15.071,269.9631165,37.3,1.75,4.64742,0,0,0,306.2,-1.5,3,0,1,1112,1024,1024,1024,300.2,-84.9,45,3.774,3.77,3.767,3.76,0,0,0,,269.8631165,37.2,6,P-GPS,
976200,7/16/2020 17:19,41.98706297,21.48660432,37.2,,,269.8631165,10.5,0,4.64977,18,5,15.071,269.9631165,37.3,1.75,4.64977,0,0,0,306.3,-1.5,3.5,0,1,1158,1024,1024,1024,300.2,-84.9,45,3.774,3.77,3.767,3.76,0,0,0,,269.8631165,37.2,6,P-GPS,
976300,7/16/2020 17:19,41.98706297,21.48660443,37.2,,,269.8631165,10.5,0,4.65589,18,5,15.071,269.9631165,37.3,1.75,4.65589,0,0,0,306.2,-1.6,3.6,0,1,1174,1024,1024,1024,300.2,-84.9,45,3.774,3.77,3.767,3.76,0,0,0,,269.8631165,37.2,6,P-GPS,
976400,7/16/2020 17:19,41.98706294,21.48660444,37.2,,,269.8631165,10.5,0,4.65896,18,5,15.071,269.9631165,37.3,1.75,4.65896,0,0,0,306.1,-2.2,3.6,0,1,1234,1024,1024,1024,300.2,-84.9,45,3.774,3.77,3.767,3.76,0,0,0,,269.8631165,37.2,6,P-GPS,
976500,7/16/2020 17:19,41.98706299,21.48660442,37.3,,,269.9631165,10.5,0,4.65466,18,5,15.071,269.9631165,37.3,1.75,4.65896,0,0,0,306.2,-2.6,3.6,0,1,1245,1024,1024,1024,300.2,-84.9,45,3.774,3.77,3.767,3.76,0,0,0,,269.9631165,37.3,6,P-GPS,
976600,7/16/2020 17:19,41.98706298,21.48660443,37.3,,,269.9631165,10.5,0,4.65498,18,5,15.084,269.9631165,37.3,1.75,4.65896,0,0,0,306.2,-3.2,3.4,0,1,1222,1024,1024,1024,300.2,-84.9,45,3.778,3.774,3.77,3.762,0,0,0,,269.9631165,37.3,6,P-GPS,
976700,7/16/2020 17:19,41.98706293,21.48660425,37.2,,,269.8631165,10.5,0,4.64856,18,5,15.084,269.9631165,37.3,1.75,4.65896,0,0,0,306.1,-4,3.1,0,1,1219,1024,1024,1024,300.2,-84.9,45,3.778,3.774,3.77,3.762,0,0,0,,269.8631165,37.2,6,P-GPS,
976800,7/16/2020 17:19,41.98706295,21.48660418,37.2,,,269.8631165,10.5,0,4.64284,18,5,15.084,269.9631165,37.3,1.75,4.65896,0,0,0,306.2,-4.3,3.3,0,1,1229,1024,1024,1024,300.2,-84.9,45,3.778,3.774,3.77,3.762,0,0,0,,269.8631165,37.2,6,P-GPS,
976900,7/16/2020 17:19,41.98706304,21.48660409,37.2,,,269.8631165,10.5,0.1,4.63064,18,5,15.084,269.9631165,37.3,1.75,4.65896,0,-0.1,0,306.1,-4.3,3.3,0,1,1229,1024,1024,1024,300.2,-84.9,45,3.778,3.774,3.77,3.762,0,0,0,,269.8631165,37.2,6,P-GPS,
977000,7/16/2020 17:19,41.9870631,21.48660395,37.2,,,269.8631165,10.5,0.1,4.61796,18,5,15.084,269.9631165,37.3,1.75,4.65896,0,-0.1,0,306.2,-4.6,3.4,0,1,1229,1024,1024,1024,300.2,-84.9,45,3.778,3.774,3.77,3.762,0,0,0,,269.8631165,37.2,6,P-GPS,
